fullvisitorid,channelgrouping,time,country,city,transactions,timeonsite,pageviews,sessionqualitydim,date,visitid,type,productquantity,productprice,productrevenue,productsku,v2productname,v2productcategory,productvariant,currencycode,transactionrevenue,transactionid,pagetitle,pagepathlevel1,ecommerceaction_type,ecommerceaction_step,ecommerceaction_option,totaltransactionrevenue
8462641216759383497,Direct,197982,United States,San Francisco,0,251,11,0,2016-08-10,1470874316,PAGE,0,1990000,0,GGOEGOFH020299,Galaxy Screen Cleaning Cloth,Home/Office/,no data,USD,0,no data,Office,/google+redesign/,0,1,no data,0
3536670045645147787,Referral,149292,United States,New York,0,235,9,0,2016-08-17,1471448857,PAGE,0,3500000,0,GGOEGOAQ015999,Gel Roller Pen,Home/Office/,no data,USD,0,no data,Office,/google+redesign/,0,1,no data,0
5249079377058399889,Direct,0,United States,San Francisco,0,0,1,0,2017-01-18,1484752257,PAGE,0,16990000,0,GGOEGAAX0107,Google Men's 100% Cotton Short Sleeve Hero Tee Red,Home/Apparel/Men's/Men's-T-Shirts/,no data,USD,0,no data,Men's T-Shirts | Apparel | Google Merchandise Store,/google+redesign/,0,1,no data,0
5924397623903554968,Organic Search,77502,United States,Palo Alto,0,245,7,0,2016-10-24,1477336652,PAGE,0,12990000,0,GGOEADWQ015699,Android Rise 14 oz Mug,Home/Drinkware/Mugs and Cups/,no data,USD,0,no data,Mugs & Cups | Drinkware | Google Merchandise Store,/google+redesign/,0,1,no data,0
8899834770548303446,Direct,51612,United States,Sunnyvale,0,117,9,0,2016-09-08,1473369709,PAGE,0,73990000,0,GGOEGEHB071499,Google PowerKit,Home/Electronics/,no data,USD,0,no data,Electronics,/store.html,0,1,no data,0
8822072746089030665,Referral,213745,United States,San Francisco,0,214,6,0,2016-10-27,1477611694,PAGE,0,98990000,0,GGOEGAAX0598,Google Men's Convertible Vest-Jacket Pewter,Home/Apparel/Men's/Men's-Outerwear/,no data,USD,0,no data,Men's Outerwear | Apparel | Google Merchandise Store,/google+redesign/,0,1,no data,0
4932381202653178215,Direct,181240,United States,Mountain View,0,181,2,0,2016-10-19,1476917473,PAGE,0,0,0,10 52233,Sports Water Bottle,Drinkware,no data,USD,0,no data,Drinkware,/google+redesign/,0,1,no data,0
199825026379925081,Direct,3981,United States,San Jose,0,107,5,0,2016-09-05,1473134077,PAGE,0,10990000,0,GGOEGFPR113699,16 oz. Hot and Cold Tumbler,Home/Drinkware/,no data,USD,0,no data,Drinkware,/google+redesign/,0,1,no data,0
1259207577689496430,Referral,34425,United States,New York,0,34,3,0,2016-09-09,1473444987,PAGE,0,99990000,0,GGOEGBRB013899,Google Laptop Backpack,Home/Bags/,no data,USD,0,no data,Bags,/google+redesign/,0,1,no data,0
7081965169654969635,Direct,0,United Kingdom,London,0,0,1,0,2016-08-10,1470883407,PAGE,0,16990000,0,GGOEGAAX0339,Google Men's Vintage Badge Tee White,Home/Apparel/,no data,USD,0,no data,Apparel,/google+redesign/,0,1,no data,0
0685552174758549911,Referral,25791,United States,Mountain View,0,424,6,0,2016-10-06,1475782098,PAGE,0,11990000,0,GGOEGCNB021099,Seat Pack Organizer,Home/Accessories/Fun/,no data,USD,0,no data,Fun,/google+redesign/,0,1,no data,0
2989110840638063446,Referral,101913,United States,New York,0,102,6,0,2016-10-13,1476375495,PAGE,0,8790000,0,GGOEGOCB017499,Leatherette Journal,Home/Office/Notebooks & Journals/,no data,USD,0,no data,Notebooks & Journals | Office | Google Merchandise Store,/google+redesign/,0,1,no data,0
7467135250925662231,Paid Search,99389,United States,no data available in demo dataset,0,99,6,0,2016-08-13,1471143115,PAGE,0,16990000,0,GGOEGAAX0663,Android Toddler Short Sleeve T-shirt Pink,Home/Apparel/,no data,USD,0,no data,Apparel,/google+redesign/,0,1,no data,0
1877155852254109597,Direct,19818,United States,Mountain View,0,20,3,0,2016-08-21,1471823818,PAGE,0,16990000,0,GGOEGAAX0339,Google Men's Vintage Badge Tee White,Home/Apparel/Men's/,no data,USD,0,no data,Men's,/google+redesign/,0,1,no data,0
9853817470466853443,Direct,42875,United States,Mountain View,0,172,5,0,2017-05-17,1495078923,PAGE,0,49990000,0,GGOEGEVB070499,Google Bluetooth Headphones,Home/Electronics/Audio/,no data,USD,0,no data,Audio | Electronics | Google Merchandise Store,/google+redesign/,0,1,no data,0
5662905754464756350,Organic Search,12008,United States,New York,0,41,5,0,2017-02-23,1487874257,PAGE,0,18990000,0,GGOEGAAX0690,Google Youth Short Sleeve Tee White,Home/Apparel/Kid's/Kids-Youth/,no data,USD,0,no data,Youth | Kids' Apparel | Google Merchandise Store,/google+redesign/,0,1,no data,0
8369998346550362748,Organic Search,66708,United States,Sunnyvale,0,72,5,0,2016-08-08,1470701360,EVENT,0,99990000,0,GGOEGBRJ037299,Oasis Backpack,Home/Limited Supply/Bags/,no data,no data,0,no data,Bags,/google+redesign/,1,1,no data,0
1504521392849146753,Organic Search,111078,United States,Austin,0,245,8,0,2016-09-26,1474923196,PAGE,0,1250000,0,GGOEGOAR021899,Retractable Ballpoint Pen Red,Home/Office/,no data,USD,0,no data,Office,/google+redesign/,0,1,no data,0
2042940880199044018,Referral,138968,United States,Mountain View,0,146,8,0,2016-09-19,1474318086,PAGE,0,4990000,0,GGOEGBJC019999,Collapsible Shopping Bag,Home/Bags/Shopping and Totes/,no data,USD,0,no data,Shopping and Totes,/google+redesign/,0,1,no data,0
1026091310771896374,Organic Search,0,United States,San Jose,0,30,2,1,2017-07-22,1500742369,PAGE,0,18990000,0,GGOEGAAX0338,Google Men's Vintage Badge Tee Black,Home/Apparel/Men's/Men's-T-Shirts/,no data,USD,0,no data,Men's T-Shirts | Apparel | Google Merchandise Store,/google+redesign/,0,1,no data,0
8101831207861040402,Organic Search,0,Sri Lanka,Colombo,0,84,2,0,2017-06-05,1496676842,PAGE,0,16990000,0,GGOEGAAX0104,Google Men's 100% Cotton Short Sleeve Hero Tee White,Home/Apparel/Men's/Men's-T-Shirts/,no data,USD,0,no data,Men's T-Shirts | Apparel | Google Merchandise Store,/google+redesign/,0,1,no data,0
4738340061373640788,Direct,0,Ukraine,Kiev,0,0,1,0,2017-03-28,1490694837,PAGE,0,39990000,0,GGOEGEVA022399,Micro Wireless Earbud,Home/Electronics/Audio/,no data,USD,0,no data,Audio | Electronics | Google Merchandise Store,/google+redesign/,0,1,no data,0
3568233371549266881,Organic Search,60823,United States,Chicago,0,68,5,0,2016-10-11,1476245013,PAGE,0,22990000,0,GGOEGEHQ072499,Google 2200mAh Micro Charger,no data,no data,no data,0,no data,Store search results,/asearch.html/,2,1,no data,0
6055324824380907599,Organic Search,75862,United States,Los Angeles,0,76,4,0,2016-08-19,1471641767,PAGE,0,11990000,0,GGOEGCNB021099,Seat Pack Organizer,Home/Lifestyle/,no data,USD,0,no data,Lifestyle,/google+redesign/,0,1,no data,0
6132855488398783886,Direct,28703,United States,New York,0,29,2,0,2016-09-09,1473451957,PAGE,0,19990000,0,GGOEGAAX0350,Google Men's Bayside Graphic Tee,Home/Apparel/Men's/,no data,USD,0,no data,Men's,/google+redesign/,0,1,no data,0
1699036922423370598,Referral,0,United States,Mountain View,0,62,5,0,2017-02-04,1486241872,PAGE,0,199000000,0,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Home/Nest/Nest-USA/,no data,USD,0,no data,Nest-USA,/google+redesign/,0,1,no data,0
8673005790229332112,Organic Search,775467,United States,Sunnyvale,0,775,15,0,2017-05-05,1494013205,PAGE,0,1500000,0,GGOEGFKA022299,Keyboard DOT Sticker,Home/Office/,no data,USD,0,no data,Office | Google Merchandise Store,/google+redesign/,0,1,no data,0
0824237293148026192,Organic Search,532503,United States,no data available in demo dataset,0,541,4,0,2016-10-07,1475900640,PAGE,0,16990000,0,GGOEGAAX0106,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,Home/Apparel/Men's/Men's-T-Shirts/,no data,USD,0,no data,Men's T-Shirts | Apparel | Google Merchandise Store,/google+redesign/,0,1,no data,0
9469264864353461125,Organic Search,41481,United States,no data available in demo dataset,0,88,6,0,2016-08-03,1470236710,PAGE,0,3500000,0,GGOEGFAQ016699,Bottle Opener Clip,Home/Lifestyle/,no data,USD,0,no data,Lifestyle,/google+redesign/,0,1,no data,0
4107691192808397078,Organic Search,0,India,no data available in demo dataset,0,0,1,0,2017-06-05,1496679233,PAGE,0,10990000,0,GGOEAHPJ074410,Android Twill Cap,Home/Apparel/,no data,USD,0,no data,Apparel | Google Merchandise Store,/google+redesign/,0,1,no data,0
1339782240346757271,Direct,0,Poland,no data available in demo dataset,0,0,1,0,2016-09-22,1474537760,PAGE,0,2990000,0,GGOEADHH055999,22 oz Android Bottle,Home/Drinkware/,no data,USD,0,no data,Drinkware,/google+redesign/,0,1,no data,0
6739183949777285657,Organic Search,21117,United States,no data available in demo dataset,0,111,4,0,2017-06-01,1496378026,PAGE,0,59990000,0,GGOEGEHQ024099,Clip-on Compact Charger,Home/Electronics/,no data,USD,0,no data,Electronics | Google Merchandise Store,/google+redesign/,0,1,no data,0
8887441157124878656,Paid Search,326433,United States,no data available in demo dataset,0,346,12,0,2017-01-05,1483679469,PAGE,0,4990000,0,GGOEYDHJ056099,22 oz YouTube Bottle Infuser,Home/Drinkware/,no data,USD,0,no data,Drinkware | Google Merchandise Store,/google+redesign/,0,1,no data,0
4262761077636089909,Organic Search,70387,Canada,no data available in demo dataset,0,247,14,0,2017-03-26,1490548894,PAGE,0,59990000,0,GGOEGEVB070899,Google Bongo Cupholder Bluetooth Speaker,Home/Electronics/Audio/,no data,USD,0,no data,Audio | Electronics | Google Merchandise Store,/google+redesign/,0,1,no data,0
0517067785059420714,Organic Search,130508,United States,Los Angeles,0,231,12,13,2017-07-08,1499501635,PAGE,0,4990000,0,GGOEGCBB074399,Google Device Holder Sticky Pad,no data,no data,USD,0,no data,Store search results,/asearch.html,0,1,no data,0
2669043609701973257,Direct,0,United States,New York,0,0,1,0,2016-10-17,1476712394,PAGE,0,23990000,0,GGOEGAAX0610,Google Onesie Red/Graphite,Home/Apparel/Kid's/Kid's-Infant/,no data,USD,0,no data,Infant | Kids' Apparel | Google Merchandise Store,/google+redesign/,0,1,no data,0
5016037660891718407,Organic Search,19249,United States,Sunnyvale,0,95,6,0,2016-08-04,1470374662,PAGE,0,19990000,0,GGOEGOAJ021599,Parker Gunmetal CT Ball Pen,Home/Office/,no data,USD,0,no data,Office,/google+redesign/,0,1,no data,0
1782942752084973319,Organic Search,0,Malaysia,Kuala Lumpur,0,0,1,0,2017-05-04,1493962246,PAGE,0,55990000,0,GGOEGAAX0359,Android Men's  Zip Hoodie,Home/Apparel/Men's/Men's-Outerwear/,no data,USD,0,no data,Men's Outerwear | Apparel | Google Merchandise Store,/google+redesign/,0,1,no data,0
1997437358896447587,Referral,55104,United States,Mountain View,0,137,8,0,2017-03-02,1488477428,PAGE,0,5590000,0,GGOEGAAX0168,Google Pet Feeding Mat,Home/Accessories/Pet/,no data,USD,0,no data,Pet | Accessories | Google Merchandise Store,/google+redesign/,0,1,no data,0
7517776548270596845,Direct,302953,France,Paris,0,327,8,0,2016-08-19,1471632118,PAGE,0,18990000,0,GGOEGAAX0325,YouTube Men's Short Sleeve Hero Tee Charcoal,Home/Apparel/,no data,USD,0,no data,Apparel,/store.html,0,1,no data,0
809964489604369640,Organic Search,70427,Thailand,Bangkok,0,151,8,0,2017-04-09,1491726593,PAGE,0,0,0,9182739,Google Men's Watershed Full Zip Hoodie Grey,no data,no data,USD,0,no data,Android Men's Pep Rally Short Sleeve Tee Navy,/google+redesign/,0,1,no data,0
0354234253568072540,Direct,101712,Canada,Toronto,0,146,4,0,2017-01-06,1483737310,PAGE,0,3500000,0,GGOEGFAQ016699,Bottle Opener Clip,Home/Drinkware/,no data,USD,0,no data,Drinkware | Google Merchandise Store,/google+redesign/,0,1,no data,0
9771610133391180366,Direct,126063,United States,New York,0,144,8,0,2016-09-09,1473457448,PAGE,0,24990000,0,GGOEGAAX0315,Google 3/4 Sleeve Raglan Badge Henley Black,Home/Apparel/Men's/,no data,USD,0,no data,Men's,/google+redesign/,0,1,no data,0
2111903203067595029,Organic Search,0,Singapore,Singapore,0,0,1,0,2016-09-11,1473644335,PAGE,0,10990000,0,GGOEGCLB020832,Softsided Travel Pouch Set,Home/Bags/,no data,USD,0,no data,Bags,/google+redesign/,0,1,no data,0
5884195899496727846,Organic Search,179394,Australia,Melbourne,0,217,6,0,2016-11-11,1478924750,PAGE,0,5500000,0,GGOEGOAR013599,Ballpoint Stylus Pen,Home/Office/Writing Instruments/,no data,USD,0,no data,Writing Instruments | Office | Google Merchandise Store,/google+redesign/,0,1,no data,0
6976129791315897536,Referral,15235,United States,Mountain View,0,73,5,0,2017-05-02,1493756504,PAGE,0,8990000,0,GGOEAOCH014199,Android Journal Book Set,Home/Shop by Brand/Android/,no data,USD,0,no data,Android | Shop by Brand | Google Merchandise Store,/google+redesign/,0,1,no data,0
9461176959217593299,Direct,47477,Taiwan,(no data set),0,76,4,0,2016-08-04,1470362075,PAGE,0,14990000,0,GGOEGBPB021199,Google Slim Utility Travel Bag,Home/Limited Supply/Bags/,no data,USD,0,no data,Bags,/google+redesign/,0,1,no data,0
9089140724419294756,Referral,154055,United States,no data available in demo dataset,0,154,3,0,2016-11-23,1479924212,PAGE,0,119000000,0,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,Home/Nest/Nest-USA/,no data,USD,0,no data,Nest-USA,/google+redesign/,0,1,no data,0
4696430940718944767,Referral,92885,United States,no data available in demo dataset,0,137,8,0,2016-09-03,1472887763,PAGE,0,63990000,0,GGOEGBMC056599,Waterproof Gear Bag,Home/Bags/,no data,USD,0,no data,Bags,/google+redesign/,0,1,no data,0
9871952265001225627,Organic Search,125755,Spain,no data available in demo dataset,0,126,4,0,2017-06-04,1496592253,PAGE,0,16990000,0,GGOEGAAX0104,Google Men's 100% Cotton Short Sleeve Hero Tee White,Home/Apparel/Men's/,no data,USD,0,no data,Men's Apparel | Google Merchandise Store,/google+redesign/,0,1,no data,0
6598544397162831771,Referral,9474,United States,Sunnyvale,0,9,2,2,2017-07-26,1501122089,PAGE,0,18990000,0,GGOEGHPB080410,Google 5-Panel Snapback Cap,Home/Apparel/Headgear/,no data,USD,0,no data,Headgear | Apparel | Google Merchandise Store,/google+redesign/,0,1,no data,0
8920932510686488085,Referral,10108,United States,Ann Arbor,0,10,2,0,2017-02-13,1487004751,PAGE,0,15190000,0,GGOEGAAX0338,Google Men's Vintage Badge Tee Black,Home/Apparel/Men's/Men's-T-Shirts/,no data,USD,0,no data,Men's T-Shirts | Apparel | Google Merchandise Store,/google+redesign/,0,1,no data,0
532057788069408196,Direct,57239,United States,New York,0,57,5,0,2017-01-03,1483472094,PAGE,0,5590000,0,GGOEGAAX0168,Google Pet Feeding Mat,Home/Accessories/Pet/,no data,USD,0,no data,Pet | Accessories | Google Merchandise Store,/google+redesign/,0,1,no data,0
8218100368336369029,Organic Search,0,India,New Delhi,0,0,1,0,2016-09-23,1474625466,PAGE,0,99990000,0,GGOEGBRA037499,Waterproof Backpack,Home/Bags/,no data,USD,0,no data,Bags,/google+redesign/,0,1,no data,0
6352654901136270029,Organic Search,0,United States,San Francisco,0,0,1,0,2017-04-14,1492176774,PAGE,0,24990000,0,GGOEYHPA003610,YouTube Wool Heather Cap Heather/Black,Home/Apparel/Headgear/,no data,USD,0,no data,Headgear | Apparel | Google Merchandise Store,/google+redesign/,0,1,no data,0
4573748372268122215,Direct,742504,Ukraine,Kiev,0,1641,4,0,2016-11-18,1479495983,PAGE,0,990000,0,GGOEGGOA017399,Maze Pen,Home/Office/,no data,USD,0,no data,Office | Google Merchandise Store,/google+redesign/,0,1,no data,0
