productSKU,total_ordered,name,stocklevel,restockingleadtime,sentimentscore,sentimentmagnitiude,ratio
9182772,0,no name,0,0,0,0,0
9182778,0,no name,0,0,0,0,0
9182780,0,no name,0,0,0,0,0
9182781,0,no name,0,0,0,0,0
9182784,0,no name,0,0,0,0,0
9182785,0,no name,0,0,0,0,0
9182980,0,no name,0,0,0,0,0
9183118,0,no name,0,0,0,0,0
9183186,0,no name,0,0,0,0,0
9183203,0,no name,0,0,0,0,0
9183213,0,no name,0,0,0,0,0
9183219,0,no name,0,0,0,0,0
9183221,0,no name,0,0,0,0,0
9183222,0,no name,0,0,0,0,0
9183223,0,no name,0,0,0,0,0
9183226,0,no name,0,0,0,0,0
9183228,0,no name,0,0,0,0,0
9183229,0,no name,0,0,0,0,0
9183230,0,no name,0,0,0,0,0
9183234,0,no name,0,0,0,0,0
9183239,0,no name,0,0,0,0,0
9183240,0,no name,0,0,0,0,0
9183241,0,no name,0,0,0,0,0
9184620,0,no name,0,0,0,0,0
9184675,0,no name,0,0,0,0,0
9184676,0,no name,0,0,0,0,0
9184720,0,no name,0,0,0,0,0
9184733,0,no name,0,0,0,0,0
9184734,0,no name,0,0,0,0,0
9184737,0,no name,0,0,0,0,0
GGOEA0CH077599,0,no name,0,0,0,0,0
GGOEAAAB034914,0,no name,0,0,0,0,0
GGOEAAAJ080814,0,no name,0,0,0,0,0
GGOEAAAP081214,0,no name,0,0,0,0,0
GGOEAAAP081217,0,no name,0,0,0,0,0
GGOEAAAQ032013,0,no name,0,0,0,0,0
GGOEAAEB028314,0,no name,0,0,0,0,0
GGOEAAEH035213,0,no name,0,0,0,0,0
GGOEAAEH035214,0,no name,0,0,0,0,0
GGOEAAEH035215,0,no name,0,0,0,0,0
GGOEAAEH035216,0,no name,0,0,0,0,0
GGOEAAEH035217,0,no name,0,0,0,0,0
GGOEAAEJ030913,0,no name,0,0,0,0,0
GGOEAAEJ033413,0,no name,0,0,0,0,0
GGOEAAEJ033414,0,no name,0,0,0,0,0
GGOEAAEJ033415,0,no name,0,0,0,0,0
GGOEAAEJ035713,0,no name,0,0,0,0,0
GGOEAAEJ035714,0,no name,0,0,0,0,0
GGOEAAWJ062548,0,no name,0,0,0,0,0
GGOEAAWN062648,0,no name,0,0,0,0,0
GGOEAAWN062649,0,no name,0,0,0,0,0
GGOEAAWT061748,0,no name,0,0,0,0,0
GGOEACCQ017299,0,no name,0,0,0,0,0
GGOEADHH055999,0,no name,0,0,0,0,0
GGOEADHH073999,0,no name,0,0,0,0,0
GGOEADWQ015699,0,no name,0,0,0,0,0
GGOEAFKQ020499,0,no name,0,0,0,0,0
GGOEAFKQ020599,0,no name,0,0,0,0,0
GGOEAHPA004110,0,no name,0,0,0,0,0
GGOEAHPB076113,0,no name,0,0,0,0,0
GGOEAHPB076114,0,no name,0,0,0,0,0
GGOEAHPB080210,0,no name,0,0,0,0,0
GGOEAHPJ004213,0,no name,0,0,0,0,0
GGOEAHPJ004314,0,no name,0,0,0,0,0
GGOEAHPJ074410,0,no name,0,0,0,0,0
GGOEAKDH019899,0,no name,0,0,0,0,0
GGOEAOBH078799,0,no name,0,0,0,0,0
GGOEAOCB077499,0,no name,0,0,0,0,0
GGOEAXXX0808,0,no name,0,0,0,0,0
GGOEAXXX0810,0,no name,0,0,0,0,0
GGOEAXXX0812,0,no name,0,0,0,0,0
GGOEGAAB010514,0,no name,0,0,0,0,0
GGOEGAAB010515,0,no name,0,0,0,0,0
GGOEGAAB010517,0,no name,0,0,0,0,0
GGOEGAAB033814,0,no name,0,0,0,0,0
GGOEGAAB033815,0,no name,0,0,0,0,0
GGOEGAAC035014,0,no name,0,0,0,0,0
GGOEGAAC035016,0,no name,0,0,0,0,0
GGOEGAAJ032313,0,no name,0,0,0,0,0
GGOEGAAJ032317,0,no name,0,0,0,0,0
GGOEGAAJ032613,0,no name,0,0,0,0,0
GGOEGAAJ032614,0,no name,0,0,0,0,0
GGOEGAAJ032616,0,no name,0,0,0,0,0
GGOEGAAJ032714,0,no name,0,0,0,0,0
GGOEGAAJ032716,0,no name,0,0,0,0,0
GGOEGAAJ032814,0,no name,0,0,0,0,0
GGOEGAAJ032815,0,no name,0,0,0,0,0
GGOEGAAJ032816,0,no name,0,0,0,0,0
GGOEGAAJ032817,0,no name,0,0,0,0,0
GGOEGAAJ059113,0,no name,0,0,0,0,0
GGOEGAAJ059114,0,no name,0,0,0,0,0
GGOEGAAJ080613,0,no name,0,0,0,0,0
GGOEGAAJ080614,0,no name,0,0,0,0,0
GGOEGAAJ080615,0,no name,0,0,0,0,0
GGOEGAAL010613,0,no name,0,0,0,0,0
GGOEGAAL010614,0,no name,0,0,0,0,0
GGOEGAAL010615,0,no name,0,0,0,0,0
GGOEGAAL010616,0,no name,0,0,0,0,0
GGOEGAAQ010413,0,no name,0,0,0,0,0
GGOEGAAQ010414,0,no name,0,0,0,0,0
GGOEGAAQ010415,0,no name,0,0,0,0,0
GGOEGAAR010715,0,no name,0,0,0,0,0
GGOEGAAR010716,0,no name,0,0,0,0,0
GGOEGAAX0037,0,no name,0,0,0,0,0
GGOEGAAX0042,0,no name,0,0,0,0,0
GGOEGAAX0074,0,no name,0,0,0,0,0
GGOEGAAX0081,0,no name,0,0,0,0,0
GGOEGAAX0098,0,no name,0,0,0,0,0
GGOEGAAX0104,0,no name,0,0,0,0,0
GGOEGAAX0105,0,no name,0,0,0,0,0
GGOEGAAX0106,0,no name,0,0,0,0,0
GGOEGAAX0107,0,no name,0,0,0,0,0
GGOEGAAX0168,0,no name,0,0,0,0,0
GGOEGAAX0231,0,no name,0,0,0,0,0
GGOEGAAX0278,0,no name,0,0,0,0,0
GGOEGAAX0279,0,no name,0,0,0,0,0
GGOEGAAX0280,0,no name,0,0,0,0,0
GGOEGAAX0281,0,no name,0,0,0,0,0
GGOEGAAX0282,0,no name,0,0,0,0,0
GGOEGAAX0283,0,no name,0,0,0,0,0
GGOEGAAX0289,0,no name,0,0,0,0,0
GGOEGAAX0290,0,no name,0,0,0,0,0
GGOEGAAX0296,0,no name,0,0,0,0,0
GGOEGAAX0297,0,no name,0,0,0,0,0
GGOEGAAX0299,0,no name,0,0,0,0,0
GGOEGAAX0304,0,no name,0,0,0,0,0
GGOEGAAX0306,0,no name,0,0,0,0,0
GGOEGAAX0308,0,no name,0,0,0,0,0
GGOEGAAX0309,0,no name,0,0,0,0,0
GGOEGAAX0313,0,no name,0,0,0,0,0
